,record_num,route_number,id,bearing,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,speed,updated_at
0,1,1,y1909,339,IN_TRANSIT_TO,15.0,0,1909,42.35311313,-71.09062181,FULL,,2022-06-12 18:35:56
1,2,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37299,-71.11731,MANY_SEATS_AVAILABLE,,2022-06-12 18:35:06
2,3,1,y1841,315,IN_TRANSIT_TO,7.0,0,1841,42.33481,-71.07476,MANY_SEATS_AVAILABLE,,2022-06-12 18:35:54
3,4,1,y1784,270,IN_TRANSIT_TO,1.0,0,1784,42.37293,-71.11744,,,2022-06-12 18:35:22
4,5,1,y1746,126,IN_TRANSIT_TO,7.0,1,1746,42.36479493,-71.10281634,FEW_SEATS_AVAILABLE,,2022-06-12 18:35:59
5,6,1,y1737,315,IN_TRANSIT_TO,1.0,1,1737,42.32985,-71.08406,MANY_SEATS_AVAILABLE,,2022-06-12 18:35:14
6,7,1,y1909,340,IN_TRANSIT_TO,15.0,0,1909,42.35410315,-71.09110997,FULL,,2022-06-12 18:36:06
7,8,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37299,-71.11731,MANY_SEATS_AVAILABLE,,2022-06-12 18:35:06
8,9,1,y1841,0,IN_TRANSIT_TO,7.0,0,1841,42.33485418,-71.07488911,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:01
9,10,1,y1784,0,IN_TRANSIT_TO,1.0,0,1784,42.37295622,-71.11754503,,,2022-06-12 18:36:03
10,11,1,y1746,124,IN_TRANSIT_TO,7.0,1,1746,42.36476428,-71.10275884,FEW_SEATS_AVAILABLE,,2022-06-12 18:36:03
11,12,1,y1737,315,IN_TRANSIT_TO,1.0,1,1737,42.32985,-71.08406,MANY_SEATS_AVAILABLE,,2022-06-12 18:35:14
12,13,1,y1909,340,IN_TRANSIT_TO,15.0,0,1909,42.35514132,-71.09160424,FULL,,2022-06-12 18:36:15
13,14,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37299,-71.11731,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:06
14,15,1,y1841,0,IN_TRANSIT_TO,7.0,0,1841,42.33485922,-71.07489003,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:10
15,16,1,y1784,280,IN_TRANSIT_TO,1.0,0,1784,42.37297844,-71.1177882,,,2022-06-12 18:36:17
16,17,1,y1746,133,IN_TRANSIT_TO,8.0,1,1746,42.36447717,-71.10224111,FEW_SEATS_AVAILABLE,,2022-06-12 18:36:14
17,18,1,y1737,315,IN_TRANSIT_TO,1.0,1,1737,42.32986,-71.08406,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:14
18,19,1,y1909,340,IN_TRANSIT_TO,15.0,0,1909,42.3564452,-71.09225401,FULL,,2022-06-12 18:36:27
19,20,1,y1859,0,IN_TRANSIT_TO,1.0,0,1859,42.37311253,-71.11770545,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:28
20,21,1,y1841,309,IN_TRANSIT_TO,7.0,0,1841,42.33495915,-71.07504597,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:27
21,22,1,y1784,286,IN_TRANSIT_TO,1.0,0,1784,42.37313202,-71.11814492,,,2022-06-12 18:36:23
22,23,1,y1746,135,IN_TRANSIT_TO,8.0,1,1746,42.36448,-71.10215,FEW_SEATS_AVAILABLE,,2022-06-12 18:36:20
23,24,1,y1737,315,IN_TRANSIT_TO,1.0,1,1737,42.32986,-71.08406,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:14
24,25,1,y1909,343,IN_TRANSIT_TO,15.0,0,1909,42.35702308,-71.09248583,FULL,,2022-06-12 18:36:33
25,26,1,y1859,0,IN_TRANSIT_TO,1.0,0,1859,42.37311253,-71.11770545,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:28
26,27,1,y1841,318,IN_TRANSIT_TO,7.0,0,1841,42.33552445,-71.0757222,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:36
27,28,1,y1784,0,IN_TRANSIT_TO,1.0,0,1784,42.37323452,-71.118446,,,2022-06-12 18:36:35
28,29,1,y1746,128,IN_TRANSIT_TO,8.0,1,1746,42.36424163,-71.10177299,FEW_SEATS_AVAILABLE,,2022-06-12 18:36:35
29,30,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
30,31,1,y1909,344,IN_TRANSIT_TO,15.0,0,1909,42.3579082,-71.09287561,FULL,,2022-06-12 18:36:45
31,32,1,y1859,0,IN_TRANSIT_TO,1.0,0,1859,42.3730858,-71.11769399,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:40
32,33,1,y1841,319,IN_TRANSIT_TO,8.0,0,1841,42.33606815,-71.07634902,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:46
33,34,1,y1784,295,IN_TRANSIT_TO,1.0,0,1784,42.3732396,-71.11845832,,,2022-06-12 18:36:40
34,35,1,y1746,132,IN_TRANSIT_TO,8.0,1,1746,42.36418352,-71.10166758,FEW_SEATS_AVAILABLE,,2022-06-12 18:36:40
35,36,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
36,37,1,y1909,328,IN_TRANSIT_TO,15.0,0,1909,42.35841415,-71.09313715,FULL,,2022-06-12 18:37:02
37,38,1,y1859,0,IN_TRANSIT_TO,1.0,0,1859,42.3730858,-71.11769399,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:40
38,39,1,y1841,0,IN_TRANSIT_TO,8.0,0,1841,42.33614672,-71.07642244,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:00
39,40,1,y1784,180,IN_TRANSIT_TO,2.0,1,1784,42.3731,-71.11882,,,2022-06-12 18:36:58
40,41,1,y1746,117,IN_TRANSIT_TO,8.0,1,1746,42.3636839,-71.10071707,FEW_SEATS_AVAILABLE,,2022-06-12 18:37:01
41,42,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
42,43,1,y1909,335,IN_TRANSIT_TO,15.0,0,1909,42.35909507,-71.09347179,FULL,,2022-06-12 18:37:16
43,44,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37309,-71.11771,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:06
44,45,1,y1841,0,IN_TRANSIT_TO,8.0,0,1841,42.33614672,-71.07642244,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:00
45,46,1,y1784,183,IN_TRANSIT_TO,2.0,1,1784,42.37242917,-71.11874281,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:18
46,47,1,y1746,131,IN_TRANSIT_TO,8.0,1,1746,42.36345048,-71.10027561,FEW_SEATS_AVAILABLE,,2022-06-12 18:37:15
47,48,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
48,49,1,y1909,266,IN_TRANSIT_TO,15.0,0,1909,42.35945829,-71.09391607,FULL,,2022-06-12 18:37:28
49,50,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37309,-71.11771,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:06
50,51,1,y1841,0,IN_TRANSIT_TO,8.0,0,1841,42.33614672,-71.07642244,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:00
51,52,1,y1784,0,IN_TRANSIT_TO,2.0,1,1784,42.37238869,-71.11880136,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:22
52,53,1,y1746,101,IN_TRANSIT_TO,8.0,1,1746,42.36328686,-71.10008503,FEW_SEATS_AVAILABLE,,2022-06-12 18:37:26
53,54,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
54,55,1,y1909,299,IN_TRANSIT_TO,15.0,0,1909,42.35948064,-71.09396595,FULL,,2022-06-12 18:37:35
55,56,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37309,-71.11771,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:06
56,57,1,y1841,0,IN_TRANSIT_TO,8.0,0,1841,42.33614672,-71.07642244,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:00
57,58,1,y1784,0,IN_TRANSIT_TO,2.0,1,1784,42.37238869,-71.11880136,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:22
58,59,1,y1746,0,IN_TRANSIT_TO,8.0,1,1746,42.36327607,-71.1000492,FEW_SEATS_AVAILABLE,,2022-06-12 18:37:37
59,60,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
60,61,1,y1909,0,IN_TRANSIT_TO,15.0,0,1909,42.35944632,-71.09382367,FULL,,2022-06-12 18:37:48
61,62,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37309,-71.11771,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:06
62,63,1,y1841,316,IN_TRANSIT_TO,8.0,0,1841,42.33651085,-71.07690801,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:51
63,64,1,y1784,0,IN_TRANSIT_TO,2.0,1,1784,42.37230133,-71.11913652,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:53
64,65,1,y1746,0,IN_TRANSIT_TO,8.0,1,1746,42.36327417,-71.10005303,FEW_SEATS_AVAILABLE,,2022-06-12 18:37:40
65,66,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
66,67,1,y1909,0,IN_TRANSIT_TO,15.0,0,1909,42.35944632,-71.09382367,FULL,,2022-06-12 18:37:48
67,68,1,y1859,270,IN_TRANSIT_TO,1.0,0,1859,42.37309,-71.11771,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:06
68,69,1,y1841,339,IN_TRANSIT_TO,8.0,0,1841,42.33682012,-71.0771898,MANY_SEATS_AVAILABLE,,2022-06-12 18:38:00
69,70,1,y1784,180,IN_TRANSIT_TO,2.0,1,1784,42.37236,-71.11919,MANY_SEATS_AVAILABLE,,2022-06-12 18:37:58
70,71,1,y1746,131,IN_TRANSIT_TO,8.0,1,1746,42.36320274,-71.09996754,FEW_SEATS_AVAILABLE,,2022-06-12 18:38:04
71,72,1,y1737,0,IN_TRANSIT_TO,1.0,1,1737,42.32989967,-71.08401506,MANY_SEATS_AVAILABLE,,2022-06-12 18:36:32
72,73,1,y1909,0,IN_TRANSIT_TO,15.0,0,1909,42.35944632,-71.09382367,FULL,,2022-06-12 18:37:48
